"","x"
"1",2.752
"2",2.755
"3",2.857
"4",2.63
"5",2.734
"6",2.737
"7",2.778
"8",2.791
"9",2.84
"10",2.897
"11",2.956
"12",2.757
"13",2.952
"14",2.87
"15",2.995
"16",2.839
"17",2.925
"18",2.93
"19",2.914
"20",2.783
"21",2.818
"22",2.851
"23",3.032
"24",2.917
"25",3.013
"26",2.911
"27",2.877
"28",2.923
"29",2.905
"30",2.789
"31",2.789
"32",2.837
"33",2.785
"34",2.782
"35",2.795
"36",2.825
"37",2.963
"38",2.744
"39",2.739
"40",2.848
"41",2.788
"42",2.82
"43",2.852
"44",2.791
"45",2.718
"46",2.734
"47",2.766
"48",2.838
"49",2.764
"50",2.901
"51",2.849
"52",2.7
"53",2.715
"54",2.759
"55",2.806
"56",2.7
"57",2.735
"58",2.867
"59",2.612
"60",2.834
"61",2.636
"62",2.822
"63",2.813
"64",2.82
"65",2.892
"66",2.931
"67",2.766
"68",2.749
"69",2.923
"70",2.704
"71",2.862
"72",2.823
"73",2.789
"74",2.825
"75",2.926
"76",2.81
"77",2.595
"78",2.742
"79",2.833
"80",2.785
