"","x"
"1",2.923
"2",2.983
"3",3.01
"4",3.013
"5",2.989
"6",3.016
"7",3.061
"8",3.039
"9",2.939
"10",3.071
"11",3.026
"12",2.918
"13",3.007
"14",3.117
"15",2.989
"16",2.968
"17",2.95
"18",3.13
"19",3.058
"20",3.095
"21",3.012
"22",2.972
"23",3.014
"24",3.013
"25",3.002
"26",3.042
"27",3.037
"28",2.957
"29",2.998
"30",2.897
"31",2.888
"32",2.954
"33",3.001
"34",2.94
"35",3.086
"36",3.074
"37",3.062
"38",2.956
"39",2.928
"40",3.082
"41",2.983
"42",3.086
"43",2.918
"44",2.988
"45",3.018
"46",2.941
"47",2.933
"48",2.974
"49",2.972
"50",2.99
"51",2.923
"52",3.033
"53",2.951
"54",3.027
"55",2.913
"56",2.99
"57",2.993
"58",2.975
"59",2.967
"60",2.948
"61",3.107
"62",2.982
"63",2.991
"64",3.004
"65",2.998
"66",3.105
"67",3.027
"68",2.914
"69",3.052
"70",2.927
"71",2.947
"72",2.887
"73",2.937
"74",3.043
"75",2.87
"76",2.962
"77",2.935
"78",2.912
"79",2.961
"80",3
"81",2.932
"82",2.954
"83",2.993
"84",2.963
"85",2.878
"86",2.976
"87",2.891
"88",2.951
"89",2.876
"90",2.894
"91",2.969
"92",3.022
"93",2.906
"94",2.843
"95",2.844
"96",2.922
"97",2.945
"98",2.918
"99",2.96
"100",2.93
"101",3.013
"102",2.977
"103",2.977
"104",2.937
"105",2.913
"106",3.044
"107",2.969
"108",2.948
"109",3.033
"110",2.937
"111",3.009
"112",2.846
"113",2.907
"114",2.877
"115",2.991
"116",2.974
"117",2.914
"118",3.102
"119",2.907
"120",2.972
"121",2.96
"122",2.916
"123",2.899
"124",2.954
"125",2.918
"126",2.992
"127",2.976
"128",2.877
"129",2.932
"130",2.95
"131",2.985
"132",2.878
"133",3.037
"134",3.039
"135",2.85
"136",2.937
"137",2.96
"138",2.957
"139",2.974
"140",3.023
"141",2.966
"142",2.973
"143",2.937
"144",2.889
"145",2.931
"146",2.956
"147",2.88
"148",3.014
"149",2.981
"150",3.004
"151",2.892
"152",3.083
"153",2.984
"154",2.981
"155",3.066
"156",2.957
"157",2.962
"158",3.056
"159",2.888
"160",3.014
"161",2.956
"162",2.912
"163",2.991
"164",2.927
"165",3.086
"166",2.942
"167",2.962
"168",2.999
"169",3.008
"170",2.816
"171",2.935
"172",3.002
"173",2.943
"174",2.935
"175",2.911
"176",2.951
"177",2.96
"178",3.015
"179",2.936
"180",2.956
"181",2.896
"182",2.985
"183",2.913
"184",2.895
"185",2.89
"186",3.031
"187",2.928
"188",3.021
"189",2.951
"190",2.953
"191",2.892
